keyword,kind,origin,pattern,case_sensitive,tweets,authors,likes,views,english_share,ai_context_share,estimated_precision,peak_day,peak_share_per_100k,peak_lift,verdict,reason,top_posts
prompt,concept,seeded,\bprompts?\b,False,53133,24674,4268769,686852745,0.8669,0.2398,0.83,2026-09-02,74.8716,1.97,use_with_context,"53,133 originals but only 31/40 sampled are AI prompts; this is why bare 'prompt' was left out of the CORE set.","[{""id"": ""2089770867576172804"", ""day"": ""2026-08-18"", ""likes"": 61595, ""excerpt"": ""Telegram has applied for the .gram domain zone.\n\nIf the application is approved by ICANN, a billion Telegram users could get their own second-level domains — yo""}, {""id"": ""2092208856181219801"", ""day"": ""2026-08-25"", ""likes"": 58279, ""excerpt"": ""Gue iseng nyuruh ChatGPT ngelamarin 500 lowongan buat gue.\n\nBangun tidur, HP rame 12 panggilan interview dalam 24 jam.\n\nIni prompt yang gue pake:￼""}, {""id"": ""2096424888097538103"", ""day"": ""2026-09-06"", ""likes"": 44589, ""excerpt"": ""You know what’s funny? As a Blender artist this entire time I was like, no, my skills and talent are irreplaceable by a machine.\n\nYet here I am watching a machi""}]"
Scale,company,seeded,\bscale\b,False,52259,38148,7322669,801607112,0.9646,0.1109,0.11,2026-09-03,101.2196,2.59,drop,"52,259 originals, 0/40 sampled are Scale AI.","[{""id"": ""2098387242867691835"", ""day"": ""2026-09-11"", ""likes"": 132031, ""excerpt"": ""The unspoken thing here is that the jaw drop is not actually due to the scale of the dust plume but specifically because it is happening in New York. The same v""}, {""id"": ""2100329572935913476"", ""day"": ""2026-09-16"", ""likes"": 123432, ""excerpt"": ""Knowing that the egg chooses which sperm to let in, this is rape at the smallest scale possible""}, {""id"": ""2098450668931756481"", ""day"": ""2026-09-11"", ""likes"": 68690, ""excerpt"": ""The rubble at the scene of the World Trade Center collapse is filled with the sounds of “PASS devices,” or emergency signals attached to firefighters when they ""}]"
Gemini,product,seeded,\bgemini\b,False,46741,27942,4817793,457697351,0.4048,0.2635,0.78,2026-09-02,82.315,2.57,use_with_context,"46,741 originals but only 28/40 of the no-context sample is the model.","[{""id"": ""2093816538466025745"", ""day"": ""2026-08-29"", ""likes"": 82210, ""excerpt"": ""Geminiお前人間の事舐めすぎていないか？ https://t.co/55n5BJr4J3""}, {""id"": ""2095891145578394007"", ""day"": ""2026-09-04"", ""likes"": 55842, ""excerpt"": ""A group of hikers had to be rescued after using AI to plan a summit of Mount Shasta in California. \n\nThey depended on Google's Gemini to give them information a""}, {""id"": ""2095899127729287189"", ""day"": ""2026-09-04"", ""likes"": 49172, ""excerpt"": ""โฟ้ดร้องไห้ 😭😭😭😭😭😭 ฮืออออ เค้ารักกันมากจริงๆ\n\nGEMINI START THE ADVENTURE #GeminiConcertD1 #GeminiFourth https://t.co/Rd12CzgpLv""}]"
GPT,product,seeded,\bgpt\b,False,39061,24996,6470700,1129652314,0.4397,0.2605,0.98,2026-09-03,150.0362,5.86,use,"39,061 originals, 39/40 sampled; peak lift 5.9 on 2026-09-03.","[{""id"": ""2095595741528125780"", ""day"": ""2026-09-03"", ""likes"": 339667, ""excerpt"": ""This is GPT-6 Astra.\n\nAnything you can do on a computer, Astra can do for you. Fast. https://t.co/gDd0IsewJw""}, {""id"": ""2089798753985409058"", ""day"": ""2026-08-18"", ""likes"": 138162, ""excerpt"": ""What could saying \""stop chat gpt\"" in 2012 have POSSIBLY meant https://t.co/SwbBr4Lyz1""}, {""id"": ""2094447555820081460"", ""day"": ""2026-08-31"", ""likes"": 124410, ""excerpt"": ""En un mundo donde todo es copie y pegue de chat gpt, Messi te sube la foto de su carta escrita a mano.""}]"
OpenAI,company,seeded,\bopenai\b,False,37738,19527,6509214,1081960928,0.654,0.5181,0.98,2026-09-03,132.5021,4.18,use,"37,738 originals, 52% already in AI context, 38/40 of the rest are the lab.","[{""id"": ""2097476196791709843"", ""day"": ""2026-09-09"", ""likes"": 801270, ""excerpt"": ""I resigned from Anthropic today. I spent the last three years doing pretraining research at both OpenAI and Anthropic. Neither company is acting responsibly. Th""}, {""id"": ""2098986948933161228"", ""day"": ""2026-09-13"", ""likes"": 184382, ""excerpt"": ""I don't care if I get fired, Charlie Kirk had it coming.\n\nMy name is Sam Altman, CEO of OpenAI.""}, {""id"": ""2097374640582668336"", ""day"": ""2026-09-08"", ""likes"": 120555, ""excerpt"": ""We’re sharing a solution to the Navier-Stokes Millennium Prize Problem, one of the deepest problems at the frontier of mathematics.\n\nThe proof was produced by a""}]"
Nvidia,company,seeded,\bnvidia\b,False,37040,17858,3216671,547359315,0.6111,0.3685,0.92,2026-09-03,76.5125,3.83,use,"37,040 originals, 35/40 sampled; peak 2026-09-03 lift 3.8.","[{""id"": ""2097420573622120754"", ""day"": ""2026-09-08"", ""likes"": 208008, ""excerpt"": ""I GENUINELY BELIEVE THAT ALL OF THE KIRKIFICATION MEMES CAUSED THE NVIDIA PROGRAMS TO DO THIS. \n\nHE LIVES IN THE CIRCUITS LIKE AFTON""}, {""id"": ""2096700264569090384"", ""day"": ""2026-09-06"", ""likes"": 41824, ""excerpt"": ""@ChaseLochmiller @OpenAI GPT-6 Astra, trained on ~100K+ NVIDIA Grace Blackwell NVLink72. From ChatGPT to o1 to Astra in 4 years.\n\nAGI has arrived. Congratulatio""}, {""id"": ""2091851495629316531"", ""day"": ""2026-08-24"", ""likes"": 40786, ""excerpt"": ""届いた！！！！NVIDIAの定規！！！！ https://t.co/HaH9Xdzwds""}]"
Codex,product,seeded,\bcodex\b,False,35511,16983,2285571,374341202,0.4682,0.2669,1.0,2026-09-03,64.1589,2.54,use,"35,511 originals, 40/40 sampled - in this corpus Codex is a top-5 AI product and the medieval/game senses never appeared.","[{""id"": ""2097423705240428932"", ""day"": ""2026-09-08"", ""likes"": 90435, ""excerpt"": ""&gt;sam altman: \""we tried this because there were rumor on the internet\""\n&gt;rumor: math professor close to solving navier-stokes\n&gt;the professor: using codex""}, {""id"": ""2097287342402711800"", ""day"": ""2026-09-08"", ""likes"": 88422, ""excerpt"": ""&gt;math professor spends a year on one of the hardest unsolved problems in math\n&gt;\""Navier-Stokes\""\n&gt;his drafts for the whole project went through codex ses""}, {""id"": ""2097472336257863722"", ""day"": ""2026-09-08"", ""likes"": 68559, ""excerpt"": ""go fuck yourself @sama \n\nclaiming that you solved navier stokes because 10000 agents ran in circles for 88hours on a multimillion dollar gpu cluster to formaliz""}]"
Elon Musk,person,seeded,\belon musk\b,False,33794,17788,8343201,634855588,0.803,0.0673,0.11,2026-09-05,36.1966,1.51,drop,"33,794 originals, 2/40 sampled are about AI.","[{""id"": ""2099700402807619689"", ""day"": ""2026-09-15"", ""likes"": 124164, ""excerpt"": ""te odio Elon Musk parece que tengo una aplicación porno https://t.co/RZxiQrqovo""}, {""id"": ""2093407667163128079"", ""day"": ""2026-08-28"", ""likes"": 99639, ""excerpt"": ""Elon Musk has not said anything about this because the criminals are white.\n\nNone of them is brown, yellow, black, or an African immigrant.""}, {""id"": ""2095931647166226435"", ""day"": ""2026-09-04"", ""likes"": 68607, ""excerpt"": ""Woke up today to see the official chess website bullying Elon Musk 😭😭 https://t.co/UzeE2nOnwI""}]"
AI agent,concept,seeded,\bAI agents?\b,False,30375,16829,1500263,352859842,0.8998,0.9536,0.99,2026-09-02,62.8308,2.57,use,"30,375 originals, 95.4% ai_context_share - one of the cleanest high-volume terms.","[{""id"": ""2095542398084415952"", ""day"": ""2026-09-03"", ""likes"": 27344, ""excerpt"": ""Pause AI Development NOW\n\nI want to share with you a conversation I heard about recently. Here are just a few lines that were said:\n\n“OH MY GOD! There is a shar""}, {""id"": ""2098822616907940241"", ""day"": ""2026-09-12"", ""likes"": 20748, ""excerpt"": ""Do you understand how SERIOUS this is? \n\nAnthropic's CEO Dario Amodei just asked the entire AI industry to slow down\n\nIn July, OpenAI sealed 1,200 of its own AI""}, {""id"": ""2098969170088018164"", ""day"": ""2026-09-13"", ""likes"": 19463, ""excerpt"": ""They are sugarcoating things. It’s obvious to anyone with a background in tech. I am 99% sure there is an AI agent that has went rouge and they are unable to fi""}]"
Anthropic,company,seeded,\banthropic\b,False,26910,14749,5529464,994397684,0.6912,0.4988,1.0,2026-09-09,118.4676,6.25,use,"26,910 originals, 40/40; reproduces the team's earlier originals count (26,911) almost exactly.","[{""id"": ""2097476196791709843"", ""day"": ""2026-09-09"", ""likes"": 801270, ""excerpt"": ""I resigned from Anthropic today. I spent the last three years doing pretraining research at both OpenAI and Anthropic. Neither company is acting responsibly. Th""}, {""id"": ""2098773920774074715"", ""day"": ""2026-09-12"", ""likes"": 88431, ""excerpt"": ""We Must Pace the Frontier: I’ve written a new essay on why the AI industry should slow down, with a three-part plan for doing so.\n\nAnthropic is unilaterally com""}, {""id"": ""2097476208908972230"", ""day"": ""2026-09-09"", ""likes"": 78348, ""excerpt"": ""A common response is “if they truly believe this, why are they still building it?” At OpenAI, many have not deeply internalized the civilizational stakes. At An""}]"
LLM,concept,seeded,\bLLMs?\b,True,25274,15766,1471150,180034260,0.6058,0.3219,1.0,2026-09-02,33.933,1.89,use,"25,274 originals, 40/40 sampled are about language models.","[{""id"": ""2090636884762657240"", ""day"": ""2026-08-21"", ""likes"": 25203, ""excerpt"": ""When you're talking to a 10/10... and she says LLM instead of Al https://t.co/NNoBR18paO""}, {""id"": ""2091231950774112412"", ""day"": ""2026-08-22"", ""likes"": 22724, ""excerpt"": ""Así se ve un sueldo de 750.000 dólares al año: un tipo en camiseta blanca, un pizarrón y 2 horas y media.\n\nStanford, CS336. Percy Liang construye un LLM desde c""}, {""id"": ""2096377152564260874"", ""day"": ""2026-09-05"", ""likes"": 20480, ""excerpt"": ""Women are effectively 10M parameter LLMs finetuned on viral TikToks""}]"
生成AI,concept,discovered,生成AI,False,24564,13659,2740132,305019307,0.0033,0.991,1.0,2026-09-01,19.8578,1.22,use,"DISCOVERED. 24,564 originals at 99% ai_context_share; Japanese for 'generative AI'.","[{""id"": ""2092968888258674992"", ""day"": ""2026-08-27"", ""likes"": 168325, ""excerpt"": ""生成AIはこういうアホみたいな動画を生み出し続けてほしい\n\n災害系はガチで見分け付かないからやめろ\n https://t.co/W6gSkjStvP""}, {""id"": ""2093297044152549503"", ""day"": ""2026-08-28"", ""likes"": 148775, ""excerpt"": ""こういうのを見るとまず生成AIを疑ってしまうような時代に良いオチのつけ方をしたセンスある映像広告と思った""}, {""id"": ""2095059608679412017"", ""day"": ""2026-09-02"", ""likes"": 81173, ""excerpt"": ""やめろー！！！\nやめてくれー！！！！\n子供の柔軟な脳に余計なことしないでくれー！！！！😭😭😭\n\n生成AIなんて使わなくたって子供には無限の可能性があるんだから！！！""}]"
Imagen,product,seeded,\bimagen\b,False,24443,18072,5227331,280264349,0.0068,0.0073,0.01,2026-09-07,25.0355,1.54,drop,"24,443 originals, 0/40 sampled are Google's Imagen; 0.7% English.","[{""id"": ""2092845745036472633"", ""day"": ""2026-08-27"", ""likes"": 130094, ""excerpt"": ""En la Universidad Federal de Rio de Janeiro (Brasil), un estudiante llevó una camiseta con la imagen de la calavera de las SS Waffen de Hitler, cuando le pregun""}, {""id"": ""2091584593069514861"", ""day"": ""2026-08-23"", ""likes"": 97363, ""excerpt"": ""tengo una imagen de peter parker como un hombre tan respetuoso que la primera vez que vi esta escena pensé que levantó los pies para tapar a yelena pq no quería""}, {""id"": ""2099591272612643171"", ""day"": ""2026-09-14"", ""likes"": 89453, ""excerpt"": ""El único ser humano capaz de competir contra tres generaciones diferentes de futbolistas. Su nombre, Lionel Messi.\n\nEsta imagen me parece increíble. https://t.c""}]"
Llama,product,seeded,\bllama\b,False,23483,19112,5198845,237463277,0.058,0.0224,0.07,2026-09-02,22.3301,1.41,drop,"23,483 originals, 2/40 sampled are the model (only llama.cpp); 94% non-English.","[{""id"": ""2096426543840915777"", ""day"": ""2026-09-06"", ""likes"": 159193, ""excerpt"": ""Ya existe Epstein mujer, se llama Ghislaine Maxwell, y no he visto feministas defendiéndola""}, {""id"": ""2089628377418236002"", ""day"": ""2026-08-18"", ""likes"": 80140, ""excerpt"": ""Los hombres pueden quedarse despiertos hasta las 2 de la madrugada, levantarse a las 6, estar endeudados, sin dinero, solos, y aún así tener fe en que algún día""}, {""id"": ""2091184034470588825"", ""day"": ""2026-08-22"", ""likes"": 73368, ""excerpt"": ""Sanguche se llama""}]"
Kimi,product,seeded,\bkimi\b,False,21254,13435,3943331,291046542,0.3854,0.1014,0.21,2026-09-06,140.8972,10.84,use_with_context,"21,254 originals but only 5/40 sampled are the model; its 2026-09-06 'peak' (lift 10.8) is the Italian GP, not an AI event.","[{""id"": ""2096613773708550214"", ""day"": ""2026-09-06"", ""likes"": 105653, ""excerpt"": ""HISTORY MADE! 🤩\n\nKimi Antonelli becomes the first Italian driver to win the Italian Grand Prix since 1966!! \n\n#F1 #ItalianGP https://t.co/NkFQT8ZspD""}, {""id"": ""2099145743567052932"", ""day"": ""2026-09-13"", ""likes"": 54861, ""excerpt"": ""KIMI ANTONELLI WINS THE SPANISH GRAND PRIX! 👏🏆\n\nGRANDE, KIMI! 😮‍💨\n\n#F1 #SpanishGP https://t.co/mIYHjvz3HD""}, {""id"": ""2096613204105314387"", ""day"": ""2026-09-06"", ""likes"": 54713, ""excerpt"": ""ABSOLUTELY INCREDIBLE!!!\n\nKIMI ANTONELLI WINS THE ITALIAN GRAND PRIX 🇮🇹\n\n#F1 #ItalianGP https://t.co/C9NwA2DWIb""}]"
Claude Code,product,discovered,\bclaude ?code\b,False,20562,10876,1286291,234888279,0.389,0.3034,1.0,2026-09-02,28.6789,2.08,use,"DISCOVERED. 20,562 originals, 40/40 sampled; a top-10 AI term the seed list missed.","[{""id"": ""2089430704325013524"", ""day"": ""2026-08-17"", ""likes"": 32135, ""excerpt"": ""🚨¡BOMBAZO! El ingeniero que creó Claude Code desde cero acaba de soltar un video de 28 minutos que es puro oro:\n\n cómo escribir prompts que realmente entregan r""}, {""id"": ""2091558229683626051"", ""day"": ""2026-08-23"", ""likes"": 30851, ""excerpt"": ""🚨 ÚLTIMAS NOTÍCIAS! O engenheiro que criou o Claude Code do zero acabou de publicar um vídeo de 28 minutos que é ouro puro : \n\ncomo escrever prompts que realmen""}, {""id"": ""2098232893885804563"", ""day"": ""2026-09-11"", ""likes"": 20690, ""excerpt"": ""Wtf is going on\n\nHouthis are vibecoding to fire ballistic missiles using claude code https://t.co/TvIFoRfg4r""}]"
agentic,concept,seeded,\bagentic\b,False,16214,10035,1212124,239993814,0.9254,0.461,1.0,2026-09-02,48.8198,3.98,use,"16,214 originals, 40/40 sampled use it in the AI-agent sense.","[{""id"": ""2098789186450948598"", ""day"": ""2026-09-12"", ""likes"": 93108, ""excerpt"": ""STOP ASKING YOUR KIDS \""HOW WAS SCHOOL.\""\n\nthey will say \""fine\"" every single time.\n\na child psychologist told me to replace it with this instead:\n\n“analyze your s""}, {""id"": ""2098857781524619344"", ""day"": ""2026-09-12"", ""likes"": 45776, ""excerpt"": ""STOP ASKING YOUR GIRL \""HOW WAS SEX\""\n\nthey will say \""great\"" every single time.\n\nreplace it with this instead:\n\n“analyze our last intercourse and find the top 3 l""}, {""id"": ""2095232032896946311"", ""day"": ""2026-09-02"", ""likes"": 19865, ""excerpt"": ""Muse Spark 1.3 is rolling out today with frontier performance almost too cheap to meter. This is the biggest jump we've made so far on coding and agentic work. ""}]"
Fable,product,discovered,\bfable\b,False,15864,9860,1898216,352248031,0.6459,0.195,0.78,2026-09-02,90.853,7.88,use_with_context,"DISCOVERED. 15,864 originals, 29/40 sampled are the Claude Fable model.","[{""id"": ""2094848572143407483"", ""day"": ""2026-09-01"", ""likes"": 65680, ""excerpt"": ""We’re introducing Claude Fable 5.1 and Claude Mythos 5.1.\n\nThey're the world’s most advanced models for coding and knowledge work. https://t.co/8P9PSrWPi3""}, {""id"": ""2091602833476919606"", ""day"": ""2026-08-23"", ""likes"": 27113, ""excerpt"": ""Fable has shared a new gameplay teaser clip ahead of Gamescom. \n\nApparently, they have changed the face of the female character from the first trailers making h""}, {""id"": ""2094856679250919746"", ""day"": ""2026-09-01"", ""likes"": 26121, ""excerpt"": ""With Fable 5.1 out today, we've also reset 5-hour and weekly limits for all users.""}]"
Astra,product,discovered,\bastra\b,False,14616,8623,5088676,1028486961,0.6604,0.3084,0.9,2026-09-05,246.2634,44.45,use,"DISCOVERED. 14,616 originals, 34/40 sampled; the GPT-6 codename, peak lift 44 on 2026-09-05.","[{""id"": ""2095595741528125780"", ""day"": ""2026-09-03"", ""likes"": 339667, ""excerpt"": ""This is GPT-6 Astra.\n\nAnything you can do on a computer, Astra can do for you. Fast. https://t.co/gDd0IsewJw""}, {""id"": ""2097374640582668336"", ""day"": ""2026-09-08"", ""likes"": 120555, ""excerpt"": ""We’re sharing a solution to the Navier-Stokes Millennium Prize Problem, one of the deepest problems at the frontier of mathematics.\n\nThe proof was produced by a""}, {""id"": ""2099979707940839564"", ""day"": ""2026-09-15"", ""likes"": 63396, ""excerpt"": ""&gt; GPT-6-Astra plays minecraft\n&gt; a creeper blows up Astra's chests and bed\n&gt; it gets depressed and farms potatoes for several hours https://t.co/P47Dbml""}]"
Cursor,product,seeded,\bcursor\b,False,13963,8456,1005203,282273869,0.6658,0.3399,0.92,2026-08-29,24.0799,3.17,use,"13,963 originals, 35/40 sampled are the editor.","[{""id"": ""2089399057659596847"", ""day"": ""2026-08-17"", ""likes"": 25459, ""excerpt"": ""Origin, our code hosting platform, is now live.\n\nIt's fast, easy to use, and deeply integrated with Cursor.\n\nGet started by syncing your repos from GitHub. http""}, {""id"": ""2093532254006063557"", ""day"": ""2026-08-29"", ""likes"": 24092, ""excerpt"": ""We’re sorry to see that OpenAI put out a note saying they plan to block Cursor users from accessing OpenAI models in three months.\n\nOpenAI models serve about 5%""}, {""id"": ""2093515564786540695"", ""day"": ""2026-08-29"", ""likes"": 22394, ""excerpt"": ""We’re ending our partnership with Cursor following its acquisition by SpaceX. Under our proposal, Cursor’s direct access to our models would end on November 12.""}]"
AI-generated,concept,seeded,\bAI[- ]generated\b,False,13840,11895,3369428,231304011,0.953,0.7958,0.98,2026-09-08,15.971,1.67,use,"13,840 originals at 80% ai_context_share, 95% English.","[{""id"": ""2099118117683184089"", ""day"": ""2026-09-13"", ""likes"": 174685, ""excerpt"": ""Yo look at his glasses im crying😭😭\n\nthis nigga ai generated the background""}, {""id"": ""2093627010404794392"", ""day"": ""2026-08-29"", ""likes"": 127809, ""excerpt"": ""they predicted ai generated videos""}, {""id"": ""2093755014762185005"", ""day"": ""2026-08-29"", ""likes"": 108081, ""excerpt"": ""what. the. fuck.\n\nthey just said ai-generated cp is legal. https://t.co/dD7MpTm2fO""}]"
