hashtag,outlier_tweets,sample_latest_tweets,sample_supported,comparison,outlier_like_delta_sum,outlier_views_delta_sum,note
#blazetheway_kualalumpur,1,4,True,both,7,2248,Lexical hashtag overlap only; not a verified semantic event or external cause.
#collegefootball,1,4,True,both,0,17029,Lexical hashtag overlap only; not a verified semantic event or external cause.
#hetalia,1,4,True,both,102,9316,Lexical hashtag overlap only; not a verified semantic event or external cause.
#internationaldogday,1,4,True,both,-1703,1624,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mushokutensei,1,4,True,both,-19,3850,Lexical hashtag overlap only; not a verified semantic event or external cause.
#reservationreformआ,1,4,True,both,25,1071,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ugc,1,4,True,both,25,1071,Lexical hashtag overlap only; not a verified semantic event or external cause.
#にじたうん,1,4,True,both,3240,387119,Lexical hashtag overlap only; not a verified semantic event or external cause.
#愛知県,1,4,True,both,24889,24458265,Lexical hashtag overlap only; not a verified semantic event or external cause.
#杢代和人,1,4,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#림버스,1,4,True,both,2909,166930,Lexical hashtag overlap only; not a verified semantic event or external cause.
#garnierxenglot,1,3,True,both,225,26001,Lexical hashtag overlap only; not a verified semantic event or external cause.
#messi,1,3,True,both,2,19849,Lexical hashtag overlap only; not a verified semantic event or external cause.
#الجزيرة_الغالي_والرخيص,1,3,True,both,-48,13714,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ليلة_الجمعة,1,3,True,both,-8,436,Lexical hashtag overlap only; not a verified semantic event or external cause.
#とろり蜜芋紅はるかフラペチーノ,1,3,True,both,-88,367841,Lexical hashtag overlap only; not a verified semantic event or external cause.
#イコラブメディア情報,1,3,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#リンバス,1,3,True,both,2909,166930,Lexical hashtag overlap only; not a verified semantic event or external cause.
#原神cp,1,3,True,both,89,48886,Lexical hashtag overlap only; not a verified semantic event or external cause.
#原神verꓸ7ꓸ0,1,3,True,both,89,48886,Lexical hashtag overlap only; not a verified semantic event or external cause.
#堀田真由,1,3,True,both,994,111490,Lexical hashtag overlap only; not a verified semantic event or external cause.
#近藤駿太,1,3,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#applemusic,1,2,True,both,0,37932,Lexical hashtag overlap only; not a verified semantic event or external cause.
#atsd,1,2,True,both,1,277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#cfb,1,2,True,both,0,17029,Lexical hashtag overlap only; not a verified semantic event or external cause.
#comipara7,1,2,True,both,102,9316,Lexical hashtag overlap only; not a verified semantic event or external cause.
#demokratie,1,2,True,both,-986,90112,Lexical hashtag overlap only; not a verified semantic event or external cause.
#doglovers,1,2,True,both,-1703,1624,Lexical hashtag overlap only; not a verified semantic event or external cause.
#every_wonwoo,1,2,True,both,8488,168781,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fbvbjk,1,2,True,both,327,28141,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fibawwc,1,2,True,both,0,15877,Lexical hashtag overlap only; not a verified semantic event or external cause.
#guapoduo,1,2,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#guapoduofanart,1,2,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#nintendodirectjp,1,2,True,both,26548,17256311,Lexical hashtag overlap only; not a verified semantic event or external cause.
#rosa,1,2,True,both,355,280340,Lexical hashtag overlap only; not a verified semantic event or external cause.
#sfw,1,2,True,both,-727,928,Lexical hashtag overlap only; not a verified semantic event or external cause.
#sidem,1,2,True,both,109,161270,Lexical hashtag overlap only; not a verified semantic event or external cause.
#superbeaver,1,2,True,both,294,148059,Lexical hashtag overlap only; not a verified semantic event or external cause.
#توقيت_بنكي,1,2,True,both,-141,3944,Lexical hashtag overlap only; not a verified semantic event or external cause.
#にじストア6周年,1,2,True,both,3240,387119,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ドル円,1,2,True,both,1,1744,Lexical hashtag overlap only; not a verified semantic event or external cause.
#マンガ,1,2,True,both,-727,928,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ロゼキャンark,1,2,True,both,0,25158,Lexical hashtag overlap only; not a verified semantic event or external cause.
#今田耕司,1,2,True,both,994,111490,Lexical hashtag overlap only; not a verified semantic event or external cause.
#創作イラスト,1,2,True,both,-556,724,Lexical hashtag overlap only; not a verified semantic event or external cause.
#熊本地震,1,2,True,both,0,22,Lexical hashtag overlap only; not a verified semantic event or external cause.
#anideal,1,1,True,both,0,28996,Lexical hashtag overlap only; not a verified semantic event or external cause.
#antofagasta,1,1,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#arequipa,1,1,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#army,1,1,True,both,11,18627,Lexical hashtag overlap only; not a verified semantic event or external cause.
#aupay,1,1,True,both,6032,564247,Lexical hashtag overlap only; not a verified semantic event or external cause.
#besty,1,1,True,both,6100,83555,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bf_missing,1,1,True,both,6100,83555,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bkkr,1,1,True,both,54,4317,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bts_worldtour_arirang_arlington,1,1,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#comifuro23,1,1,True,both,102,9316,Lexical hashtag overlap only; not a verified semantic event or external cause.
#cop31,1,1,True,both,78,16707,Lexical hashtag overlap only; not a verified semantic event or external cause.
#cutedogs,1,1,True,both,-1703,1624,Lexical hashtag overlap only; not a verified semantic event or external cause.
#diora24,1,1,True,both,19119,482829,Lexical hashtag overlap only; not a verified semantic event or external cause.
#epicfail,1,1,True,both,2,33421,Lexical hashtag overlap only; not a verified semantic event or external cause.
#funnymoment,1,1,True,both,2,33421,Lexical hashtag overlap only; not a verified semantic event or external cause.
#goal,1,1,True,both,1,2714,Lexical hashtag overlap only; not a verified semantic event or external cause.
#hardknocks,1,1,True,both,0,22721,Lexical hashtag overlap only; not a verified semantic event or external cause.
#kiribaku,1,1,True,both,54,4317,Lexical hashtag overlap only; not a verified semantic event or external cause.
#krbk,1,1,True,both,54,4317,Lexical hashtag overlap only; not a verified semantic event or external cause.
